connection,member_tag,type,demand_kip_or_kipft,note
brace @ 2/100001,274,axial,P=199.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100001/200002,275,axial,P=161.6 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100002/200001,276,axial,P=161.6 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200001/300002,277,axial,P=147.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200002/300001,278,axial,P=147.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300001/400002,279,axial,P=127.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300002/400001,280,axial,P=127.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400001/500002,281,axial,P=92.8 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400002/500001,282,axial,P=92.8 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500001/600002,283,axial,P=71.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500002/600001,284,axial,P=71.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600001/700002,285,axial,P=45.0 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600002/700001,286,axial,P=45.0 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700001/800002,287,axial,P=23.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700002/800001,288,axial,P=23.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 502/100503,289,axial,P=199.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 503/100502,290,axial,P=199.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100502/200503,291,axial,P=161.6 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100503/200502,292,axial,P=161.6 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200502/300503,293,axial,P=147.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200503/300502,294,axial,P=147.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300502/400503,295,axial,P=127.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300503/400502,296,axial,P=127.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400502/500503,297,axial,P=92.8 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400503/500502,298,axial,P=92.8 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500502/600503,299,axial,P=71.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500503/600502,300,axial,P=71.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600502/700503,301,axial,P=45.0 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600503/700502,302,axial,P=45.0 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700502/800503,303,axial,P=23.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700503/800502,304,axial,P=23.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
beam-end @ 100000/100100,305,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100100/100200,306,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100200/100300,307,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100300/100400,308,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100400/100500,309,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100001/100101,310,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100101/100201,311,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100201/100301,312,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100301/100401,313,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100401/100501,314,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100002/100102,315,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100102/100202,316,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100202/100302,317,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100302/100402,318,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100402/100502,319,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100003/100103,320,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100103/100203,321,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100203/100303,322,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100303/100403,323,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100403/100503,324,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100004/100104,325,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100104/100204,326,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100204/100304,327,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100304/100404,328,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100404/100504,329,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100000/100001,330,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100001/100002,331,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100002/100003,332,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100003/100004,333,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100100/100101,334,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100101/100102,335,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100102/100103,336,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100103/100104,337,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100200/100201,338,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100201/100202,339,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100202/100203,340,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100203/100204,341,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100300/100301,342,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100301/100302,343,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100302/100303,344,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100303/100304,345,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100400/100401,346,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100401/100402,347,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100402/100403,348,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100403/100404,349,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100500/100501,350,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100501/100502,351,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100502/100503,352,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100503/100504,353,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200000/200100,354,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200100/200200,355,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200200/200300,356,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200300/200400,357,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200400/200500,358,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200001/200101,359,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200101/200201,360,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200201/200301,361,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200301/200401,362,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200401/200501,363,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200002/200102,364,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200102/200202,365,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200202/200302,366,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200302/200402,367,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200402/200502,368,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200003/200103,369,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200103/200203,370,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200203/200303,371,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200303/200403,372,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200403/200503,373,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200004/200104,374,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200104/200204,375,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200204/200304,376,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200304/200404,377,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200404/200504,378,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200000/200001,379,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200001/200002,380,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200002/200003,381,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200003/200004,382,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200100/200101,383,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200101/200102,384,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200102/200103,385,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200103/200104,386,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200200/200201,387,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200201/200202,388,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200202/200203,389,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200203/200204,390,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200300/200301,391,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200301/200302,392,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200302/200303,393,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200303/200304,394,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200400/200401,395,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200401/200402,396,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200402/200403,397,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200403/200404,398,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200500/200501,399,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200501/200502,400,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200502/200503,401,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200503/200504,402,shear (+moment if MF),"V=72.8 kip, M=454.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300000/300100,403,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300100/300200,404,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300200/300300,405,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300300/300400,406,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300400/300500,407,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300001/300101,408,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300101/300201,409,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300201/300301,410,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300301/300401,411,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300401/300501,412,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300002/300102,413,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300102/300202,414,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300202/300302,415,shear (+moment if MF),"V=72.8 kip, M=545.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
