connection,member_tag,type,demand_kip_or_kipft,note
beam-end @ 100202/100302,225,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100302/100402,226,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100402/100502,227,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100502/100602,228,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100003/100103,229,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100103/100203,230,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100203/100303,231,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100303/100403,232,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100403/100503,233,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100503/100603,234,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100004/100104,235,shear (+moment if MF),"V=116.1 kip, M=962.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100104/100204,236,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100204/100304,237,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100304/100404,238,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100404/100504,239,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100504/100604,240,shear (+moment if MF),"V=116.1 kip, M=955.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100000/100001,241,shear (+moment if MF),"V=116.1 kip, M=1309.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100001/100002,242,shear (+moment if MF),"V=116.1 kip, M=1414.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100002/100003,243,shear (+moment if MF),"V=116.1 kip, M=1413.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100003/100004,244,shear (+moment if MF),"V=116.1 kip, M=1316.0 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100100/100101,245,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100101/100102,246,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100102/100103,247,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100103/100104,248,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100200/100201,249,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100201/100202,250,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100202/100203,251,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100203/100204,252,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100300/100301,253,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100301/100302,254,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100302/100303,255,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100303/100304,256,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100400/100401,257,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100401/100402,258,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100402/100403,259,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100403/100404,260,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100500/100501,261,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100501/100502,262,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100502/100503,263,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100503/100504,264,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100600/100601,265,shear (+moment if MF),"V=116.1 kip, M=1316.0 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100601/100602,266,shear (+moment if MF),"V=116.1 kip, M=1413.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100602/100603,267,shear (+moment if MF),"V=116.1 kip, M=1414.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100603/100604,268,shear (+moment if MF),"V=116.1 kip, M=1309.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200000/200100,269,shear (+moment if MF),"V=116.1 kip, M=973.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200100/200200,270,shear (+moment if MF),"V=116.1 kip, M=889.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200200/200300,271,shear (+moment if MF),"V=116.1 kip, M=889.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200300/200400,272,shear (+moment if MF),"V=116.1 kip, M=889.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200400/200500,273,shear (+moment if MF),"V=116.1 kip, M=889.1 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200500/200600,274,shear (+moment if MF),"V=116.1 kip, M=985.2 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200001/200101,275,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200101/200201,276,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200201/200301,277,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200301/200401,278,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200401/200501,279,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200501/200601,280,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200002/200102,281,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200102/200202,282,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200202/200302,283,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200302/200402,284,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200402/200502,285,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200502/200602,286,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200003/200103,287,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200103/200203,288,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200203/200303,289,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200303/200403,290,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200403/200503,291,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200503/200603,292,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200004/200104,293,shear (+moment if MF),"V=116.1 kip, M=985.2 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200104/200204,294,shear (+moment if MF),"V=116.1 kip, M=889.1 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200204/200304,295,shear (+moment if MF),"V=116.1 kip, M=889.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200304/200404,296,shear (+moment if MF),"V=116.1 kip, M=889.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200404/200504,297,shear (+moment if MF),"V=116.1 kip, M=889.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200504/200604,298,shear (+moment if MF),"V=116.1 kip, M=973.7 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200000/200001,299,shear (+moment if MF),"V=116.1 kip, M=1323.2 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200001/200002,300,shear (+moment if MF),"V=116.1 kip, M=1423.4 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200002/200003,301,shear (+moment if MF),"V=116.1 kip, M=1421.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200003/200004,302,shear (+moment if MF),"V=116.1 kip, M=1333.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200100/200101,303,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200101/200102,304,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200102/200103,305,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200103/200104,306,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200200/200201,307,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200201/200202,308,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200202/200203,309,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200203/200204,310,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200300/200301,311,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200301/200302,312,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200302/200303,313,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200303/200304,314,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200400/200401,315,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200401/200402,316,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200402/200403,317,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200403/200404,318,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200500/200501,319,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200501/200502,320,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200502/200503,321,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200503/200504,322,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200600/200601,323,shear (+moment if MF),"V=116.1 kip, M=1333.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200601/200602,324,shear (+moment if MF),"V=116.1 kip, M=1421.6 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200602/200603,325,shear (+moment if MF),"V=116.1 kip, M=1423.4 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 200603/200604,326,shear (+moment if MF),"V=116.1 kip, M=1323.2 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300000/300100,327,shear (+moment if MF),"V=116.1 kip, M=912.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300100/300200,328,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300200/300300,329,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300300/300400,330,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300400/300500,331,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300500/300600,332,shear (+moment if MF),"V=116.1 kip, M=927.4 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300001/300101,333,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300101/300201,334,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300201/300301,335,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300301/300401,336,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300401/300501,337,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300501/300601,338,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300002/300102,339,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300102/300202,340,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300202/300302,341,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300302/300402,342,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300402/300502,343,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300502/300602,344,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300003/300103,345,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300103/300203,346,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300203/300303,347,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300303/300403,348,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300403/300503,349,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300503/300603,350,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300004/300104,351,shear (+moment if MF),"V=116.1 kip, M=927.4 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300104/300204,352,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300204/300304,353,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300304/300404,354,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300404/300504,355,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300504/300604,356,shear (+moment if MF),"V=116.1 kip, M=912.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300000/300001,357,shear (+moment if MF),"V=116.1 kip, M=1191.4 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300001/300002,358,shear (+moment if MF),"V=116.1 kip, M=1281.2 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300002/300003,359,shear (+moment if MF),"V=116.1 kip, M=1278.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300003/300004,360,shear (+moment if MF),"V=116.1 kip, M=1204.5 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300100/300101,361,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300101/300102,362,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300102/300103,363,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300103/300104,364,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300200/300201,365,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300201/300202,366,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300202/300203,367,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300203/300204,368,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300300/300301,369,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300301/300302,370,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300302/300303,371,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300303/300304,372,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 300400/300401,373,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
